"Sachin Lama","sachin@gmail.com","2023-11-01","Male","Singaporean","sachin123","sachin123"
"Lija Maharjan","lija@gmail.com","2023-11-01","Female","Thai","lija123","lija123"
"Tina Lama","tina@gmail.com","2023-11-01","Female","Thai","tina@123","tintin"
"Suyog Maharjan","suyog@gmail.com","2023-11-01","Male","Singaporean","blank123","blank"
"Aryan Jha","aryan@gmail.com","2023-11-01","Male","Singaporean","aryan@123","aryan"
"Ram Jha","ram@gmail.com","2023-11-13","Male","Singaporean","ram@123","ram"
"Shaili Maharjan","shaili@gmail.com","2023-10-29","Male","Malaysian","123","shaili"
"Aayush Ghising","aayush@gmail.com","2023-11-01","Male","Malaysian","aayush@123","aayush"
"Shyam Maharjan","shyam@gmail.com","2023-10-29","Female","Malaysian","123","shyam"
"Rojan","rojan@gmail.com","2023-10-31","Male","Singaporean","123","rojan"
"Hari Shrestha","hari@gmail.com","2023-10-30","Male","Singaporean","123","iamhari"
"Ram","ramm@gmail.com","2023-11-01","Male","Singaporean","12345678","ramm"
